CaseID,Code1,Code2,Code3,Code4,Code5
37,96,,,,
40,03,02,,,
47,04,05,,,
53,03,,,,
61,01,99,,,
62,06,,,,
63,20,,,,
73,96,,,,
83,06,,,,
84,04,,,,
96,20,,,,
99,06,,,,
100,96,,,,
113,01,,,,
192,06,,,,
257,01,,,,
268,01,,,,
271,04,99,,,
294,06,05,,,
312,96,,,,
396,01,,,,
420,20,,,,
447,06,07,,,
460,07,01,,,
472,01,20,,,
501,01,,,,
511,05,,,,
522,04,99,,,
554,01,99,,,
556,07,20,,,
557,06,02,,,
579,96,,,,
583,06,,,,
612,04,,,,
636,01,,,,
680,06,,,,
691,01,05,,,
696,01,06,,,
744,04,07,,,
761,01,,,,
765,03,02,,,
100029,01,05,,,
100034,05,,,,
100053,04,,,,
100066,04,,,,
100072,27,,,,
100080,01,,,,
100083,01,,,,
100089,01,,,,
100102,03,05,,,
100117,96,,,,
29,99,,,,
45,01,,,,
67,01,,,,
82,20,,,,
115,04,06,07,,
131,01,,,,
144,01,,,,
147,23,,,,
152,04,,,,
159,04,01,,,
186,23,,,,
206,99,,,,
215,01,22,,,
233,23,,,,
237,99,,,,
242,01,,,,
246,07,21,,,
283,27,,,,
286,06,,,,
288,20,,,,
291,01,02,,,
317,05,01,,,
321,06,03,,,
330,01,,,,
332,04,23,,,
339,04,,,,
344,07,,,,
345,01,99,,,
358,04,,,,
368,23,,,,
384,01,,,,
428,99,,,,
443,06,,,,
449,04,,,,
454,04,,,,
456,99,,,,
474,02,,,,
491,01,,,,
528,04,02,01,05,
543,04,21,06,,
585,07,,,,
603,04,23,,,
615,04,02,,,
622,99,,,,
634,23,06,01,,
647,01,,,,
664,02,,,,
674,99,,,,
704,07,01,,,
718,04,01,,,
751,06,,,,
759,01,06,,,
100023,01,,,,
100024,01,99,,,
100031,01,,,,
100033,22,,,,
100044,07,,,,
100050,06,,,,
100056,20,,,,
100057,01,07,,,
100075,06,05,02,,
100079,06,,,,
100082,06,,,,
100084,06,,,,
100090,04,22,,,
100100,05,,,,
100109,01,05,,,
100110,06,,,,
100111,04,,,,
100115,04,,,,
32,22,26,,,
35,21,22,,,
42,27,,,,
48,96,,,,
58,40,,,,
65,23,,,,
126,25,,,,
136,22,26,,,
148,25,,,,
149,25,27,,,
157,21,,,,
171,40,,,,
183,25,,,,
248,21,,,,
276,23,21,,,
303,40,,,,
310,23,99,,,
322,23,,,,
334,25,,,,
376,23,99,,,
409,26,99,,,
448,21,05,,,
492,99,,,,
513,23,22,26,,
514,06,05,27,,
539,23,,,,
542,21,,,,
549,21,27,,,
551,23,27,,,
562,21,23,,,
570,23,24,,,
597,21,02,,,
607,22,27,,,
617,25,,,,
666,22,,,,
676,23,22,,,
693,21,,,,
703,23,99,,,
707,99,,,,
755,23,99,,,
757,24,,,,
760,21,22,,,
762,99,,,,
763,24,27,,,
764,99,,,,
766,40,,,,
767,23,,,,
100010,21,,,,
100013,24,21,,,
100021,25,,,,
100026,22,,,,
100043,23,,,,
100046,22,26,,,
100047,21,,,,
100052,23,,,,
100054,21,,,,
100055,27,,,,
100064,01,,,,
100078,23,,,,
100085,21,,,,
100095,23,,,,
100098,23,21,,,
100103,24,27,,,
100108,27,,,,
100119,21,25,27,,
54,21,25,,,
69,40,,,,
70,23,,,,
88,21,,,,
90,24,,,,
105,26,,,,
120,21,23,,,
122,26,21,,,
127,27,,,,
162,23,,,,
172,21,,,,
189,21,,,,
234,21,,,,
239,21,,,,
252,21,,,,
255,25,27,,,
262,23,,,,
264,96,,,,
272,22,27,,,
292,23,01,,,
300,22,26,,,
304,99,,,,
306,23,,,,
307,99,,,,
316,21,,,,
325,25,,,,
331,23,,,,
414,21,,,,
426,21,22,,,
450,21,,,,
461,21,23,,,
470,23,21,,,
479,40,,,,
481,99,,,,
489,40,,,,
508,21,,,,
540,40,,,,
584,22,26,,,
596,23,25,,,
605,22,26,,,
609,21,23,,,
614,21,,,,
616,21,24,,,
623,26,22,,,
632,23,21,,,
637,21,22,,,
661,01,99,,,
695,21,25,99,,
706,21,,,,
711,21,22,,,
735,23,,,,
741,21,,,,
743,26,22,,,
758,21,25,99,,
100016,27,,,,
100027,25,23,,,
100038,22,,,,
100048,24,,,,
100049,21,,,,
100051,23,,,,
100058,40,,,,
100059,21,,,,
100062,22,,,,
100063,21,22,,,
100073,23,,,,
100087,22,,,,
100094,24,,,,
100096,21,,,,
100097,99,,,,
100101,21,,,,
100105,24,,,,
100114,24,27,,,
